expression min median itr/sec mem_alloc gc/sec n_itr n_gc total_time
DESeq2_data1   3.42ms   3.57ms 225.425975294556   8.27MB 3.9898402707001 113 2 501.27ms
DESeq2_data2   6.64ms   7.13ms 116.856234547743  16.17MB 3.961228289754 59 2 504.89ms
DESeq2_data3  17.02ms  17.85ms 48.9165569630657  40.41MB 3.91332455704526 25 2 511.07ms
DESeq2_data4  26.61ms  27.9ms 33.8669840335101  59.47MB 1.99217553138295 17 1 501.96ms
DESeq2_data5  52.14ms  53ms 16.0182451371663 118.89MB 5.33941504572211 9 3 561.86ms
DESeq2_data6 130.58ms 162.37ms 6.36505837554185 297.13MB 4.77379378165639 4 3 628.43ms
DESeq2_data7 678.01ms 678.01ms 1.4749095032401 544.92MB 1.4749095032401 1 1 678.01ms
DESeq2_data8 570.6ms 570.6ms 1.75253995615849   1.06GB 1.75253995615849 1 1 570.6ms
DESeq2_data9   1.49s   1.49s 0.671453458371397   2.65GB 2.68581383348559 1 4   1.49s
