expression min median itr/sec mem_alloc gc/sec n_itr n_gc total_time
TMM_data1  10.78ms  10.99ms 84.217535853817  15.6MB 1.95854734543761 43 1 510.58ms
TMM_data2  21.67ms  22.11ms 42.4756098291335  30.98MB 1.93070953768789 22 1 517.94ms
TMM_data3  58.01ms  59.25ms 15.9685610969199  77.59MB 1.99607013711498 8 1 500.98ms
TMM_data4  90.43ms  92.17ms 10.3691163473575 124.78MB 1.72818605789292 6 1 578.64ms
TMM_data5 189.1ms 213.26ms 4.7419651746922 248.59MB 3.16131011646147 3 2 632.65ms
TMM_data6 525.74ms 525.74ms 1.90209245386663 623.09MB 1.90209245386663 1 1 525.74ms
TMM_data7 977.36ms 977.36ms 1.02316978203099   1.13GB 3.06950934609296 1 3 977.36ms
TMM_data8   2.31s   2.31s 0.432508610057029   2.25GB 1.73003444022811 1 4   2.31s
TMM_data9   5.36s   5.36s 0.186623091916517   5.63GB 1.67960782724865 1 9   5.36s
