expression min median itr/sec mem_alloc gc/sec n_itr n_gc total_time
PoissonSeq_data1   2.93ms   3.07ms 287.265118374091   4.64MB 1.99489665537563 144 1 501ms
PoissonSeq_data2   5.12ms   5.34ms 171.783106648507   8.85MB 1.99747798428497 86 1 501ms
PoissonSeq_data3  11.8ms  12.3ms 76.1203748087476  22.32MB 1.95180448227558 39 1 512ms
PoissonSeq_data4  14.11ms  14.69ms 63.6164310902046  28.72MB 1.9880134715689 32 1 503ms
PoissonSeq_data5  27.79ms  28.94ms 32.7967843717669  56.98MB 1.92922261010394 17 1 518ms
PoissonSeq_data6  70.49ms  74.54ms 12.3191244551933 143.99MB 3.51974984434095 7 2 568ms
PoissonSeq_data7 122.73ms 138.09ms 7.20477056678487 256.68MB 3.60238528339244 4 2 555ms
PoissonSeq_data8 264.09ms 275.07ms 3.63537217122583 510.08MB 1.81768608561291 2 1 550ms
PoissonSeq_data9 817.25ms 817.25ms 1.22361069406384   1.26GB 4.89444277625538 1 4 817ms
